GemeentecodeGM,Gemeentenaam,Grote gemeente,Inwonertal,Provincienaam,COVID 27-02,COVID 28-02,COVID 29-02,COVID 01-03,COVID 02-03,COVID 03-03,COVID 04-03,COVID 05-03,COVID 06-03,COVID 07-03,COVID 08-03,COVID 09-03,COVID 10-03,COVID 11-03,COVID 12-03,COVID 13-03,COVID 14-03,COVID 15-03,COVID 16-03,COVID 17-03,COVID 18-03,COVID 19-03,COVID 20-03,Aantal per 100.000 inwoners,Toename in 24 uur
GM0417,Laren,Nee,11195,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0420,Medemblik,Nee,44809,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0432,Opmeer,Nee,11779,Noord-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0512,Gorinchem,Nee,36682,Zuid-Holland,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.00,-1
GM0531,Hendrik-Ido-Ambacht,Nee,30966,Zuid-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0553,Lisse,Nee,22800,Zuid-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0638,Zoeterwoude,Nee,8450,Zuid-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1892,Zuidplas,Nee,42762,Zuid-Holland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0340,Rhenen,Nee,20004,Utrecht,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00,0
GM0313,Bunschoten,Nee,21576,Utrecht,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0335,Montfoort,Nee,13996,Utrecht,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0339,Renswoude,Nee,5259,Utrecht,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0981,Vaals,Nee,10092,Limburg,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0244,Hattem,Nee,12173,Gelderland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0279,Scherpenzeel,Nee,9873,Gelderland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0294,Winterswijk,Nee,28903,Gelderland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0003,Appingedam,Nee,11721,Groningen,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0010,Delfzijl,Nee,24716,Groningen,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1966,Het Hogeland,Nee,47888,Groningen,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0024,Loppersum,Nee,9614,Groningen,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1895,Oldambt,Nee,38129,Groningen,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0037,Stadskanaal,Nee,31789,Groningen,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0047,Veendam,Nee,27491,Groningen,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1950,Westerwolde,Nee,25199,Groningen,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0168,Losser,Nee,22622,Overijssel,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1773,Olst-Wijhe,Nee,18071,Overijssel,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1700,Twenterand,Nee,33792,Overijssel,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0189,Wierden,Nee,24351,Overijssel,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0059,Achtkarspelen,Nee,27852,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0060,Ameland,Nee,3673,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1891,Dantumadiel,Nee,18923,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0085,Ooststellingwerf,Nee,25497,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0088,Schiermonnikoog,Nee,936,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0093,Terschelling,Nee,4890,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0096,Vlieland,Nee,1138,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1949,Waadhoeke,Nee,46039,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0098,Weststellingwerf,Nee,25840,Friesland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1680,Aa en Hunze,Nee,25386,Drenthe,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1681,Borger-Odoorn,Nee,25372,Drenthe,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1701,Westerveld,Nee,19348,Drenthe,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM0677,Hulst,Nee,27524,Zeeland,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.00,0
GM1695,Noord-Beveland,Nee,7308,Zeeland,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0.00,-1
GM-1,Onbekend,Nee,0,,,,,,,,,,,,,,,,,22,29,29,65,68,81,86,111,,
